time,station_id,sbe_temp_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2020-01-05 12:00:00,Mace Head,9.1273,1,3,1,1,1,1,3.0
2020-01-05 12:30:00,Mace Head,9.1354,1,3,1,1,1,1,3.0
2020-01-05 13:00:00,Mace Head,9.1094,1,3,1,1,1,1,3.0
2020-01-05 13:30:00,Mace Head,9.0907,1,3,1,1,1,1,3.0
2020-01-05 14:00:00,Mace Head,9.073399,1,3,1,1,1,1,3.0
2020-01-05 14:30:00,Mace Head,9.065699,1,3,1,1,1,1,3.0
2020-01-05 15:00:00,Mace Head,9.0649,1,3,1,1,1,1,3.0
2020-01-05 15:30:00,Mace Head,9.0744,1,3,1,1,1,1,3.0
2020-01-05 16:00:00,Mace Head,9.076199,1,3,1,1,1,1,3.0
2020-01-05 16:30:00,Mace Head,9.0774,1,3,1,1,1,1,3.0
2020-01-05 17:00:00,Mace Head,9.0788,1,3,1,1,1,1,3.0
2020-01-05 17:30:00,Mace Head,9.0808,1,3,1,1,1,1,3.0
2020-01-05 18:00:00,Mace Head,9.0777,1,3,1,1,1,1,3.0
2020-01-05 18:30:00,Mace Head,9.0782,1,3,1,1,1,1,3.0
2020-01-05 19:00:00,Mace Head,9.0778,1,3,1,1,1,1,3.0
2020-01-05 19:30:00,Mace Head,9.0833,1,3,1,1,1,1,3.0
2020-01-05 20:00:00,Mace Head,9.091,1,3,1,1,1,1,3.0
2020-01-05 20:30:00,Mace Head,9.0977,1,3,1,1,1,1,3.0
2020-01-05 21:00:00,Mace Head,9.1003,1,3,1,1,1,1,3.0
2020-01-05 21:30:00,Mace Head,9.1098,1,3,1,1,1,1,3.0
2020-01-05 22:00:00,Mace Head,9.1031,1,3,1,1,1,1,3.0
2020-01-05 22:30:00,Mace Head,9.1039,1,3,1,1,1,1,3.0
2020-01-05 23:00:00,Mace Head,9.1077,1,3,1,1,1,1,3.0
2020-01-05 23:30:00,Mace Head,9.1179,1,3,1,1,1,1,3.0
2020-01-06 00:00:00,Mace Head,9.1157,1,3,1,1,1,1,3.0
2020-01-06 00:30:00,Mace Head,9.1195,1,3,1,1,1,1,3.0
2020-01-06 01:00:00,Mace Head,9.1274,1,3,1,1,1,1,3.0
2020-01-06 01:30:00,Mace Head,9.1452,1,3,1,1,1,1,3.0
2020-01-06 02:00:00,Mace Head,9.1659,1,3,1,1,1,1,3.0
2020-01-06 02:30:00,Mace Head,9.1831,1,3,1,1,1,1,3.0
2020-01-06 03:00:00,Mace Head,9.2212,1,3,1,1,1,1,3.0
2020-01-06 03:30:00,Mace Head,9.2249,1,3,1,1,1,1,3.0
2020-01-06 04:00:00,Mace Head,9.2278,1,3,1,1,1,1,3.0
2020-01-06 04:30:00,Mace Head,9.2313,1,3,1,1,1,1,3.0
2020-01-06 05:00:00,Mace Head,9.2302,1,3,1,1,1,1,3.0
2020-01-06 05:30:00,Mace Head,9.2255,1,3,1,1,1,1,3.0
2020-01-06 06:00:00,Mace Head,9.224399,1,3,1,1,1,1,3.0
2020-01-06 06:30:00,Mace Head,9.227,1,3,1,1,1,1,3.0
